Ontario Top Baby Names (Female),,
Year,Name,Frequency
2013,AADHYA,13
2013,AADYA,6
2011,AAHANA,7
2013,AAIMA,6
2011,AAIRA,7
2005,AALIYA,7
2008,AALIYA,7
2010,AALIYA,8
2012,AALIYA,7
2013,AALIYA,6
1994,AALIYAH,6
1995,AALIYAH,18
1996,AALIYAH,11
1997,AALIYAH,19
1998,AALIYAH,28
1999,AALIYAH,22
2000,AALIYAH,31
2001,AALIYAH,56
2002,AALIYAH,83
2003,AALIYAH,75
2004,AALIYAH,74
2005,AALIYAH,92
2006,AALIYAH,81
2007,AALIYAH,69
2008,AALIYAH,93
2009,AALIYAH,98
2010,AALIYAH,114
2011,AALIYAH,121
2012,AALIYAH,108
2013,AALIYAH,116
2008,AAMINA,6
2005,AAMINAH,6
2009,AAMINAH,7
2011,AAMINAH,9
2013,AAMINAH,11
2006,AAMNA,7
2007,AAMNA,6
2010,AAMNA,7
2006,AANYA,6
2007,AANYA,6
2008,AANYA,20
2009,AANYA,10
2010,AANYA,13
2011,AANYA,15
2012,AANYA,14
2013,AANYA,11
2013,AARADHYA,9
2008,AARNA,7
2011,AARNA,6
2012,AARNA,13
2013,AARNA,8
1977,AARON,7
1978,AARON,6
1982,AARON,7
1984,AARON,6
1995,AARON,6
1987,AARTI,6
2001,AARTI,6
2008,AARUSHI,6
2010,AARYA,6
2011,AARYA,14
2012,AARYA,14
2013,AARYA,7
2002,AASHNA,6
2008,AASHNA,6
2012,AASIYAH,6
2005,AASTHA,6
2012,AAYAT,7
2013,AAYAT,6
2001,ABAGAIL,8
2002,ABAGAIL,8
2003,ABAGAIL,6
2004,ABAGAIL,9
2005,ABAGAIL,11
2006,ABAGAIL,8
2007,ABAGAIL,8
2008,ABAGAIL,6
2009,ABAGAIL,11
2010,ABAGAIL,10
2011,ABAGAIL,11
2012,ABAGAIL,14
1980,ABBEY,7
1982,ABBEY,10
1985,ABBEY,8
1987,ABBEY,6
1988,ABBEY,8
1989,ABBEY,11
1991,ABBEY,11
1992,ABBEY,11
1993,ABBEY,20
1994,ABBEY,19
1995,ABBEY,18
1996,ABBEY,18
1997,ABBEY,37
1998,ABBEY,41
1999,ABBEY,34
2000,ABBEY,34
2001,ABBEY,71
2002,ABBEY,77
2003,ABBEY,66
2004,ABBEY,58
2005,ABBEY,47
2006,ABBEY,44
2007,ABBEY,39
2008,ABBEY,35
2009,ABBEY,13
2010,ABBEY,18
2011,ABBEY,29
2012,ABBEY,24
2013,ABBEY,16
1980,ABBIE,6
1992,ABBIE,6
1994,ABBIE,8
1995,ABBIE,8
1996,ABBIE,8
1997,ABBIE,9
1998,ABBIE,13
2000,ABBIE,12
2001,ABBIE,19
2002,ABBIE,16
2003,ABBIE,17
2004,ABBIE,16
2005,ABBIE,10
2006,ABBIE,11
2007,ABBIE,9
2008,ABBIE,11
2009,ABBIE,11
2010,ABBIE,14
2011,ABBIE,11
2012,ABBIE,14
2013,ABBIE,11
1996,ABBIGAIL,8
1997,ABBIGAIL,13
1998,ABBIGAIL,18
1999,ABBIGAIL,15
2000,ABBIGAIL,14
2001,ABBIGAIL,17
2002,ABBIGAIL,23
2003,ABBIGAIL,20
2004,ABBIGAIL,17
2005,ABBIGAIL,36
2006,ABBIGAIL,27
2007,ABBIGAIL,23
2008,ABBIGAIL,34
2009,ABBIGAIL,34
2010,ABBIGAIL,41
2011,ABBIGAIL,27
2012,ABBIGAIL,30
2013,ABBIGAIL,15
2001,ABBIGALE,7
2002,ABBIGALE,7
2003,ABBIGALE,9
2005,ABBIGALE,10
2006,ABBIGALE,7
2008,ABBIGALE,10
2009,ABBIGALE,10
2010,ABBIGALE,8
2012,ABBIGALE,11
2000,ABBIGAYLE,6
2002,ABBIGAYLE,8
