Ontario Top Baby Names (Male),,
Year,Name,Frequency
1917,AARON,7
1917,ABE,5
1917,ABIE,5
1917,ABRAHAM,25
1917,ABRAM,7
1917,ADAM,19
1917,ADELARD,6
1917,ADRIAN,7
1917,ALAN,34
1917,ALBERT,502
1917,ALBIN,5
1917,ALCIDE,5
1917,ALEX,33
1917,ALEXANDER,187
1917,ALFRED,276
1917,ALFREDO,5
1917,ALLAN,132
1917,ALLEN,51
1917,ALMER,7
1917,ALPHONSE,13
1917,ALTON,8
1917,ALVIN,68
1917,AMBROSE,16
1917,AMOS,10
1917,ANDRE,6
1917,ANDREW,112
1917,ANGELO,18
1917,ANGUS,37
1917,ANTHONY,35
1917,ANTOINE,6
1917,ANTONIO,21
1917,ANTONY,5
1917,ARCHIBALD,38
1917,ARCHIE,39
1917,ARMAND,18
1917,ARNOLD,76
1917,ARTHUR,476
1917,ARVO,7
1917,AUBREY,20
1917,AUDREY,5
1917,AUGUSTINE,5
1917,AURELE,5
1917,AUSTIN,30
1917,BASIL,35
1917,BAZIL,5
1917,BEN,5
1917,BENEDICT,5
1917,BENJAMIN,51
1917,BENNY,5
1917,BERNARD,91
1917,BERT,21
1917,BERTIE,8
1917,BERTRAM,21
1917,BEVERLEY,6
1917,BEVERLY,8
1917,BILLIE,9
1917,BOBBIE,5
1917,BORDEN,6
1917,BRUCE,103
1917,BRUNO,6
1917,BURTON,15
1917,CALVIN,14
1917,CAMERON,19
1917,CARL,92
1917,CARLTON,7
1917,CARMAN,17
1917,CARMEN,6
1917,CECIL,159
1917,CHARLES,790
1917,CHARLEY,6
1917,CHARLIE,15
1917,CHESTER,29
1917,CHRISTOPHER,18
1917,CLARANCE,15
1917,CLARE,11
1917,CLARENCE,216
1917,CLAUD,5
1917,CLAUDE,29
1917,CLAYTON,43
1917,CLEMENT,14
1917,CLIFFORD,171
1917,CLIFTON,9
1917,CLINTON,16
1917,CLYDE,13
1917,COLIN,14
1917,CONRAD,7
1917,CORNELIUS,8
1917,CURTIS,5
1917,CYRIL,53
1917,DALTON,10
1917,DANIEL,91
1917,DAVID,317
1917,DEAN,5
1917,DELBERT,24
1917,DENIS,13
1917,DENNIS,14
1917,DESMOND,6
1917,DOMENICO,6
1917,DOMINIC,9
1917,DOMINICK,8
1917,DON,5
1917,DONALD,497
1917,DOUGLAS,279
1917,DUDLEY,6
1917,DUNCAN,38
1917,DWIGHT,5
1917,EARL,211
1917,EARLE,15
1917,EARNEST,23
1917,EDDIE,7
1917,EDGAR,68
1917,EDMOND,25
1917,EDMUND,29
1917,EDWARD,428
1917,EDWIN,107
1917,ELDON,23
1917,ELGIN,21
1917,ELIAS,6
1917,ELLIOTT,8
1917,ELMER,103
1917,ELTON,6
1917,ELWOOD,13
1917,EMANUEL,7
1917,EMERSON,22
1917,EMIL,10
1917,EMILE,16
1917,ERIC,59
1917,ERLE,5
1917,ERNEST,284
1917,ERVIN,6
1917,ERWIN,5
1917,EUGENE,43
1917,EVERETT,26
1917,EWART,6
1917,FELIX,11
1917,FERDINAND,6
1917,FERGUS,6
1917,FERNAND,8
1917,FLOYD,33
1917,FRANCES,22
1917,FRANCESCO,13
1917,FRANCIS,352
1917,FRANCOIS,7
1917,FRANK,306
1917,FRANKLIN,37
1917,FRED,55
1917,FREDERIC,21
1917,FREDERICK,450
1917,FREDRICK,42
1917,GABRIEL,6
1917,GARFIELD,11
1917,GARNET,42
1917,GARNETT,5
1917,GEORGE,1206
1917,GERALD,148
1917,GERARD,25
1917,GILBERT,45
1917,GINO,5
1917,GIOVANNI,10
1917,GLEN,38
1917,GLENN,15
1917,GORDEN,16
1917,GORDON,508
1917,GRAHAM,14
1917,GRANT,25
1917,GREGORY,10
1917,GRENVILLE,6
1917,GUISEPPE,8
1917,GUSTAVE,6
1917,GUY,14
1917,HAMILTON,7
1917,HARLEY,12
1917,HAROLD,579
